-71.1073707,42.3674097,856 Massachusetts Ave, Cambridge, Ma, 13614
-71.1072748,42.367461,858 Massachusetts Ave, Cambridge, Ma, 13615
-71.1073247,42.3674905,860 Massachusetts Ave, Cambridge, Ma, 13616
-71.1073619,42.3675156,862 Massachusetts Ave, Cambridge, Ma, 13617
-71.1073915,42.3675316,864 Massachusetts Ave, Cambridge, Ma, 13618
-71.1087731,42.3675467,507 Green St, Cambridge, Ma, 13619
-71.1079996,42.3678144,884 Massachusetts Ave, Cambridge, Ma, 13621
-71.1082642,42.3680225,896 Massachusetts Ave, Cambridge, Ma, 13622
-71.1083392,42.3680569,896-A Massachusetts Ave, Cambridge, Ma, 13623
-71.1086614,42.3682174,906 Massachusetts Ave, Cambridge, Ma, 13625
-71.1086127,42.3681925,904 Massachusetts Ave, Cambridge, Ma, 13626
-71.1085657,42.3681091,900 Massachusetts Ave, Cambridge, Ma, 13627
-71.1052753,42.3661386,746 Massachusetts Ave, Cambridge, Ma, 13744
-71.1054175,42.3662295,750 Massachusetts Ave, Cambridge, Ma, 13745
-71.1051595,42.3660714,738 Massachusetts Ave, Cambridge, Ma, 13746
-71.1050895,42.3660312,736 Massachusetts Ave, Cambridge, Ma, 13747
-71.1048763,42.3659094,700 Massachusetts Ave, Cambridge, Ma, 13750
-71.1047735,42.3658421,698 Massachusetts Ave, Cambridge, Ma, 13751
-71.1083944,42.3660204,18 Soden St, Cambridge, Ma, 14572
-71.1084037,42.3661077,24 Soden St, Cambridge, Ma, 14574
-71.1084343,42.3662789,32 Soden St, Cambridge, Ma, 14578
-71.1070045,42.362996,41 Magazine St, Cambridge, Ma, 14862
-71.1053075,42.3665451,757 Massachusetts Ave, Cambridge, Ma, 10113
-71.1031854,42.3677423,7 St Paul St, Cambridge, Ma, 10395
-71.1039631,42.3675407,8 Austin Pk, Cambridge, Ma, 10759
-71.1032126,42.3676215,8 St Paul St, Cambridge, Ma, 10882
-71.1026429,42.3675781,93 Prospect St, Cambridge, Ma, 11031
-71.1036576,42.3675946,9 Austin Pk, Cambridge, Ma, 11242
-71.1033266,42.367801,9 St Paul St, Cambridge, Ma, 11418
-71.1040028,42.3671666,3 Austin Pk, Cambridge, Ma, 11520
-71.1037375,42.3674051,7 Austin Pk, Cambridge, Ma, 11522
-71.1028377,42.3685173,264 Harvard St, Cambridge, Ma, 11523
-71.1030428,42.3685922,270 Harvard St, Cambridge, Ma, 11524
-71.1031715,42.3684241,268 Harvard St, Cambridge, Ma, 11525
-71.1030898,42.3683421,266-A Harvard St, Cambridge, Ma, 11526
-71.1037276,42.3676418,10 Austin Pk, Cambridge, Ma, 11527
-71.1045037,42.3673204,149-A Bishop Allen Dr, Cambridge, Ma, 11528
-71.1025158,42.3684543,262 Harvard St, Cambridge, Ma, 11529
-71.101993,42.3682721,258 Harvard St, Cambridge, Ma, 11530
-71.1048999,42.3663016,727 Massachusetts Ave, Cambridge, Ma, 11562
-71.1051636,42.3664583,739 Massachusetts Ave, Cambridge, Ma, 11564
-71.1051864,42.3664707,743 Massachusetts Ave, Cambridge, Ma, 11565
-71.1052399,42.3665011,751 Massachusetts Ave, Cambridge, Ma, 11566
-71.1053509,42.36657,759 Massachusetts Ave, Cambridge, Ma, 11567
-71.1054354,42.3666201,763 Massachusetts Ave, Cambridge, Ma, 11568
-71.1054661,42.3666381,765 Massachusetts Ave, Cambridge, Ma, 11569
-71.1039564,42.3657487,671 Massachusetts Ave, Cambridge, Ma, 12223
-71.1037127,42.3659647,19 Prospect St, Cambridge, Ma, 12224
-71.103569,42.3660969,21 Prospect St, Cambridge, Ma, 12225
-71.1002427,42.3706171,211 Prospect St, Cambridge, Ma, 11853
-71.1002283,42.3706417,213 Prospect St, Cambridge, Ma, 11854
-71.1005889,42.3707936,8 St Mary Rd, Cambridge, Ma, 11859
-71.1007157,42.3708436,12 St Mary Rd, Cambridge, Ma, 11860
-71.1010185,42.3724422,110 Inman St, Cambridge, Ma, 11878
-71.1020735,42.3704309,2 Amory Pl, Cambridge, Ma, 12045
-71.1018135,42.37087,7 King Pl, Cambridge, Ma, 12053
-71.1019035,42.3708032,8 King Pl, Cambridge, Ma, 12054
-71.1018324,42.3707745,9 King Pl, Cambridge, Ma, 12055
-71.1024,42.3720546,76 Antrim St, Cambridge, Ma, 10149
-71.1059066,42.3676165,7 Bigelow St, Cambridge, Ma, 10283
-71.1064271,42.3681764,7 Clinton St, Cambridge, Ma, 10298
-71.1046965,42.3715201,7 Fayette Pk, Cambridge, Ma, 10315
-71.1043584,42.3713767,7 Fayette St, Cambridge, Ma, 10316
-71.1023374,42.3721347,80 Antrim St, Cambridge, Ma, 10433
-71.1022028,42.3736309,80 Fayette St, Cambridge, Ma, 10439
-71.1066617,42.3673847,843 Massachusetts Ave, Cambridge, Ma, 10546
-71.1067904,42.3674657,847 Massachusetts Ave, Cambridge, Ma, 10548
-71.1022551,42.3722072,84 Antrim St, Cambridge, Ma, 10551
-71.1070341,42.3676104,859 Massachusetts Ave, Cambridge, Ma, 10582
-71.1071974,42.3676925,863 Massachusetts Ave, Cambridge, Ma, 10620
-71.1074937,42.3678682,875 Massachusetts Ave, Cambridge, Ma, 10650
-71.1081888,42.3687582,88 Hancock St, Cambridge, Ma, 10700
-71.1081677,42.36828,897 Massachusetts Ave, Cambridge, Ma, 10718
-71.1054472,42.3677671,8 Bigelow St, Cambridge, Ma, 10768
